iter	Logloss
0	0.6858713526
1	0.6782177288
2	0.6708820571
3	0.6639823295
4	0.657211647
5	0.6512133719
6	0.6448795657
7	0.6388696379
8	0.6337383899
9	0.6278800803
10	0.6228451169
11	0.6182783255
12	0.614053058
13	0.6091282958
14	0.6044080217
15	0.5998345051
16	0.5953101295
17	0.591155777
18	0.5869671322
19	0.5828590575
20	0.5791851956
21	0.5752866696
22	0.5717857337
23	0.568250106
24	0.5650821708
25	0.5618692229
26	0.558754757
27	0.5555276594
28	0.5526691532
29	0.549792036
30	0.5470050774
31	0.5441794318
32	0.541681227
33	0.5392516732
34	0.5369391458
35	0.5344347817
36	0.5319793589
37	0.5297131093
38	0.5275036916
39	0.5253483424
40	0.5231993522
41	0.5208960803
42	0.5188082502
43	0.5168332181
44	0.5149382234
45	0.513184759
46	0.5113208937
47	0.5094491711
48	0.5077288336
49	0.5059766344
50	0.5043503176
51	0.5026160302
52	0.5011210892
53	0.4993570375
54	0.4975934853
55	0.4960915193
56	0.4946510131
57	0.4930746031
58	0.4915838904
59	0.4901530392
60	0.4889826757
61	0.487578992
62	0.4861680835
63	0.4847932319
64	0.4836858596
65	0.4826173739
66	0.4812029697
67	0.4802633629
68	0.4791815266
69	0.4781823912
70	0.476947605
71	0.4759251308
72	0.4749557264
73	0.4738806154
74	0.4727627556
75	0.4716437306
76	0.4706359056
77	0.4697980102
78	0.4689028834
79	0.4680033285
80	0.4670042264
81	0.4661959954
82	0.4651925651
83	0.4641197514
84	0.4629809167
85	0.4620166728
86	0.4611069968
87	0.4600813265
88	0.4592059094
89	0.4583807321
90	0.4575070129
91	0.4566347254
92	0.4558836259
93	0.4551830991
94	0.4544484799
95	0.453721052
96	0.452997919
97	0.452287271
98	0.4515533177
99	0.4508998678
100	0.4500148289
101	0.4492733179
102	0.4484778383
103	0.4477407886
104	0.4470201193
105	0.446270851
106	0.4455350665
107	0.4449429098
108	0.4443101018
109	0.4436408375
110	0.4428963967
111	0.4421632424
112	0.4413958625
113	0.4407808665
114	0.4400612293
115	0.4393268431
116	0.438757226
117	0.4381771215
118	0.4375705488
119	0.4367493
120	0.436103774
121	0.4355594599
122	0.4349218244
123	0.4342826574
124	0.4336122611
125	0.4329757576
126	0.4323147168
127	0.4317135376
128	0.4310429749
129	0.4304586088
130	0.4299544799
131	0.429414727
132	0.4289384314
133	0.4284438244
134	0.4277391027
135	0.4272580794
136	0.4268100499
137	0.4263707099
138	0.4258017587
139	0.4253481026
140	0.4248819948
141	0.4242895385
142	0.4237503516
143	0.4231897237
144	0.4226477069
145	0.4222122956
146	0.4217257123
147	0.4211668823
148	0.4205738933
149	0.4200483234
150	0.4195835473
151	0.4191352514
152	0.4186150085
153	0.4180635697
154	0.4174693155
155	0.4168650732
156	0.4162996511
157	0.4159132145
158	0.4154408475
159	0.4151091451
160	0.4147410864
161	0.4143810847
162	0.4139313572
163	0.4134798985
164	0.4129982426
165	0.4125653616
166	0.4120443863
167	0.4116193292
168	0.4112231042
169	0.4107655861
170	0.4102745748
171	0.4098612703
172	0.4096234555
173	0.4092541649
174	0.408900156
175	0.4084015205
176	0.4080234404
177	0.4076211561
178	0.4071843464
179	0.4065905917
180	0.4061625049
181	0.4058712208
182	0.4054207942
183	0.4049000851
184	0.4045039601
185	0.4040796687
186	0.4036377319
187	0.4031796478
188	0.4028384569
189	0.4024137328
190	0.402086292
191	0.4016751516
192	0.4012374431
193	0.400853237
194	0.4004258827
195	0.4000743375
196	0.3996819413
197	0.3991630634
198	0.398802862
