iter	Passed	Remaining
0	87	1743652
1	161	1610106
2	217	1449021
3	270	1354254
4	326	1305159
5	386	1286292
6	446	1274432
7	504	1259585
8	558	1240580
9	613	1226567
10	668	1215190
11	727	1211071
12	780	1199534
13	833	1189558
14	888	1184098
15	945	1180732
16	1003	1179177
17	1067	1185271
18	1121	1179644
19	1181	1180156
20	1238	1178514
21	1297	1178204
22	1355	1176995
23	1413	1176408
24	1466	1171836
25	1530	1175693
26	1600	1183748
27	1655	1180941
28	1715	1181464
29	1772	1180100
30	1831	1179505
31	1890	1179621
32	1947	1178378
33	2006	1178276
34	2060	1175120
35	2115	1173170
36	2175	1173853
37	2232	1173002
38	2289	1171909
39	2343	1169414
40	2396	1166815
41	2453	1165980
42	2513	1166459
43	2570	1165758
44	2626	1164506
45	2679	1162303
46	2736	1161723
47	2793	1161323
48	2850	1160659
49	2904	1159075
50	2960	1157905
51	3020	1158734
52	3076	1158038
53	3135	1158121
54	3192	1157786
55	3248	1156998
56	3307	1157069
57	3367	1158004
58	3425	1157638
59	3481	1156923
60	3539	1156932
61	3595	1156084
62	3658	1157887
63	3714	1157046
64	3769	1155929
65	3822	1154609
66	3879	1154191
67	3937	1154073
68	3997	1154827
69	4058	1155395
70	4121	1156923
71	4178	1156633
72	4236	1156575
73	4294	1156443
74	4354	1156735
75	4410	1156160
76	4469	1156481
77	4531	1157378
78	4591	1157891
79	4650	1157960
80	4704	1156940
81	4762	1156883
82	4820	1156646
83	4878	1156583
84	4938	1157148
85	4999	1157579
86	5057	1157602
87	5118	1158088
88	5183	1159557
89	5239	1158990
90	5301	1159877
91	5368	1161730
92	5422	1160758
93	5476	1159644
94	5531	1158905
95	5592	1159412
96	5654	1160151
97	5710	1159796
98	5767	1159382
99	5824	1158982
100	5884	1159302
101	5942	1159278
102	6001	1159246
103	6060	1159401
104	6124	1160369
105	6188	1161461
106	6254	1162778
107	6312	1162577
108	6369	1162268
109	6428	1162464
110	6484	1161867
111	6543	1161906
112	6609	1163233
113	6681	1165512
114	6743	1165958
115	6800	1165749
116	6856	1165224
117	6912	1164686
118	6968	1164197
119	7029	1164617
120	7093	1165456
121	7155	1165823
122	7219	1166612
123	7280	1166979
124	7340	1167067
125	7397	1166769
126	7455	1166671
127	7518	1167305
128	7581	1167889
129	7646	1168745
130	7706	1168794
131	7764	1168639
132	7818	1167824
133	7878	1168024
134	7941	1168639
135	8005	1169310
136	8060	1168670
137	8114	1167840
138	8173	1167818
139	8232	1167823
140	8297	1168586
141	8353	1168180
142	8410	1167857
143	8464	1167159
144	8524	1167260
145	8580	1166827
146	8639	1166852
147	8697	1166612
148	8753	1166165
149	8812	1166204
150	8873	1166479
151	8936	1166867
152	8992	1166482
153	9050	1166325
154	9112	1166654
155	9183	1168182
156	9242	1168094
157	9300	1167980
158	9357	1167724
159	9416	1167648
160	9474	1167504
161	9533	1167468
162	9602	1168643
163	9667	1169297
164	9731	1169862
165	9799	1170825
166	9865	1171631
167	9932	1172536
168	10001	1173587
169	10064	1173967
170	10124	1174056
171	10181	1173660
172	10233	1172811
173	10288	1172347
174	10342	1171666
175	10402	1171677
176	10461	1171590
177	10514	1170849
178	10574	1170945
179	10634	1171003
180	10690	1170541
181	10743	1169829
182	10800	1169634
183	10861	1169715
184	10916	1169292
185	10969	1168547
186	11028	1168454
187	11086	1168308
188	11142	1167992
189	11202	1167995
190	11260	1167874
191	11316	1167499
192	11370	1166937
193	11429	1166879
194	11489	1166889
195	11546	1166655
196	11601	1166200
197	11663	1166482
198	11722	1166406
